State,Pop
.Alabama,"5,157,699"
.Arizona,"7,582,384"
.Arkansas,"3,088,354"
.California,"39,431,263"
.Colorado,"5,957,493"
.Connecticut,"3,675,069"
.Delaware,"1,051,917"
.District of Columbia,"702,250"
.Florida,"23,372,215"
.Georgia,"11,180,878"
.Idaho,"2,001,619"
.Illinois,"12,710,158"
.Indiana,"6,924,275"
.Iowa,"3,241,488"
.Kansas,"2,970,606"
.Kentucky,"4,588,372"
.Louisiana,"4,597,740"
.Maine,"1,405,012"
.Maryland,"6,263,220"
.Massachusetts,"7,136,171"
.Michigan,"10,140,459"
.Minnesota,"5,793,151"
.Mississippi,"2,943,045"
.Missouri,"6,245,466"
.Montana,"1,137,233"
.Nebraska,"2,005,465"
.Nevada,"3,267,467"
.New Hampshire,"1,409,032"
.New Jersey,"9,500,851"
.New Mexico,"2,130,256"
.New York,"19,867,248"
.North Carolina,"11,046,024"
.North Dakota,"796,568"
.Ohio,"11,883,304"
.Oklahoma,"4,095,393"
.Oregon,"4,272,371"
.Pennsylvania,"13,078,751"
.Rhode Island,"1,112,308"
.South Carolina,"5,478,831"
.South Dakota,"924,669"
.Tennessee,"7,227,750"
.Texas,"31,290,831"
.Utah,"3,503,613"
.Vermont,"648,493"
.Virginia,"8,811,195"
.Washington,"7,958,180"
.West Virginia,"1,769,979"
.Wisconsin,"5,960,975"
.Wyoming,"587,618"
